,Unnamed: 0,Author,Comments,Date,Ratings,Reviews,Title
4,4,Amazon Customer,Was this review helpful to you?, December 22 2017,5.0 out of 5 stars,Very bright nice flashlight.,Five Stars
5,5,Cane Corso,2 people found this helpful. Was this review helpful to you?, December 22 2017,1.0 out of 5 stars,"What a waste of money! These things looked like they'd be great, and I liked the adjustability of the beam angle. But they both stopped working within 1 week of being used. I've had lower quality cheaper crap from the dollar store last longer than these! I only rated them 1 star because there isnt an option for ZERO stars or even negative stars!",Do Not Buy!!!! Very Poor Quality & short lifespan!
6,6,Hemlockfen,Was this review helpful to you?, December 22 2017,5.0 out of 5 stars,Great for the car. Inexpensive. Cheap on batteries. Small and can be put anywhere. A lot of light for a single AA battery.,Great Utilily Light for the Emergencies
7,7,gar,Was this review helpful to you?, December 21 2017,3.0 out of 5 stars,one broke the other was lost,one broke the other was lost
8,8,lori ann,Was this review helpful to you?, December 21 2017,5.0 out of 5 stars,"Light is bright, material is good and it worked as advertised",Great product
9,9,Man Da,Was this review helpful to you?, December 20 2017,4.0 out of 5 stars,"Great deal. Size and weight have made them a go to light for camping, hiking, or working around the yard/home.",Great deal. Size and weight have made them a ...
0,0,Jerem,Was this review helpful to you?, December 19 2017,3.0 out of 5 stars,"These are decent lights to keep around the house or in the car. They aren’t super high quality, one of mine the rubber cover over the on/off switch was installed wrong and it makes it hard to operate the light. I don’t think they are really 300 lumens either. I have a 300 lumen light that I compared it to and these are a lot dimmer. Good cheap flashlight.",They aren’t super high quality
1,1,Amazon Customer,Was this review helpful to you?, December 19 2017,5.0 out of 5 stars,"very nice set comes in handy, one for the wife an one for me. I like the clip so that I cant loose it. small compact bright, great unit",very nice set comes in handy
2,2,bob k.,One person found this helpful. Was this review helpful to you?, December 17 2017,5.0 out of 5 stars,Awesome lights!,Five Stars
3,3,Raimundo Lopes,Was this review helpful to you?, December 17 2017,5.0 out of 5 stars,Great!,Great! Great!
4,4,Sarah,Was this review helpful to you?, December 14 2017,5.0 out of 5 stars,"Small, incredibly bright, and I love that it comes in a pair.",and I love that it comes in a pair
5,5,Harley chik,Was this review helpful to you?, December 14 2017,5.0 out of 5 stars,These things seriously have range...great flashlight and size makes them convenient. Wicked bargain would buy again!,great flashlight and size makes them convenient
6,6,Z.R,Was this review helpful to you?, December 13 2017,2.0 out of 5 stars,I really liked these.. Until they just broke about a month after use. Changing battery and then never worked again. Same for both flashlights in pack,I really liked these.
7,7,Frank,Was this review helpful to you?, December 13 2017,3.0 out of 5 stars,"Light is weak, the strobe-light is pointless, and maybe just barely worth $5. Expected more quality, but it's all looks.",weak
8,8,reallyloone,Was this review helpful to you?, December 12 2017,5.0 out of 5 stars,"they are a great deal. they are not high end, but for the price, they throw a lot of light with 1 battery. Put them in all of the cars.",Bright Light
9,9,Chris Miller,Was this review helpful to you?, December 12 2017,4.0 out of 5 stars,"Great light, very bright for the price. Don't really care for the strobe mode, and you have to cycle through it to get back to the brightest mode. But what can you expect for such a cheap price.","Great light, inexpensive"
0,0,edward chambers,Was this review helpful to you?, December 11 2017,5.0 out of 5 stars,great,Five Stars
1,1,Ja,Was this review helpful to you?, December 11 2017,3.0 out of 5 stars,"One did not work. Switched the tail caps and they both work for now.. . It gives a good amount of light, but 3 stars because now I can’t rely on the light.",It gives a good amount of light
2,2,Olivia,2 people found this helpful. Was this review helpful to you?, December 11 2017,3.0 out of 5 stars,"i gave it 3 stars because only one of the flash lights worked. it didnt seem worth it to send them back since i really only needed one for a Christmas gift, just seemed easier and cheaper to get the two pack. I put the batteries in and one worked right away while the other only pretends to work if the spring touches the side wall while the battery is in it and that's impossible to use since you have to close the cap to keep the battery inside. The one that works however is awesome and more than what i expected it to be, flashes, zooms and expands and is very bright for its small size. just wish the other one worked. overall happy with the one that works but disappointed only one worked","one worked, one didnt"
3,3,illyBobBooooooJohnson,2 people found this helpful. Was this review helpful to you?, December 10 2017,2.0 out of 5 stars,"I ordered similar lights to this in the past... LOVED THEM! These however constantly cycle the features each time you turn the light on.

For example:
First time you turn it on... Super bright.
Next time... Dim mode.
Next time... Flashing pattern.

NORMALLY... These types of flashlights should function:
Momentary press button = Changes mode.
Turn unit off = Remembers where it was.",Not happy with modes!!!!
4,4,Jonathan,Was this review helpful to you?, December 9 2017,5.0 out of 5 stars,Really good low cost flash lights. I got them last minute for a camping trip and they worked amazing.,Really good low cost flash lights
5,5,Carlos,Was this review helpful to you?, December 6 2017,4.0 out of 5 stars,Its a lot brighter with duracell batteries. I belive there are better batteries for it but idk.,I belive there are better batteries for it but idk
6,6,Mike M,One person found this helpful. Was this review helpful to you?, December 6 2017,5.0 out of 5 stars,"These are very lightweight and last forever on a single AA battery.

I use them for evening strolls around (an increasingly dark as winter is upon us) set of streets and the flash mode make me very obvious to oncoming cars.

Super lightweight, and built to last. I have been using them for months without an issue. They even work well with rechargeable batteries.

One caution: Rechargeable batteries + LED's mean that when the power drops below the minimum the LEDs need, you will find that the light just stops working, unlike a bulb which dies slowly, this can cut off entirely. But keep a good charge and you won't be disappointed.","Great light, rechargeable battery friendly"
7,7,Debra,Was this review helpful to you?, December 5 2017,5.0 out of 5 stars,Thank you,Five Stars
8,8,Douglas,Was this review helpful to you?, December 4 2017,5.0 out of 5 stars,THEY PUT THE OLD FLASH LITES TO SHAME. I HAVE BOUGHT MANY,Five Stars
9,9,Spunos,Was this review helpful to you?, December 2 2017,4.0 out of 5 stars,goes perfectly with my bug out bag,Solid
0,0,KMS Squared,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,"Nice flashlight, Good value","Nice flashlight, Good value"
1,1,Michael,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,Bright little flashlights that feel very substantial for such a low cost.,They work. Inexpensive but don't feel cheap.
2,2,tbrat,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,Small and powerful,Great
3,3,Jorge Rangel,Was this review helpful to you?, April 9 2018,4.0 out of 5 stars,"Wow, I just popped an AA battery in, and this thing is bright.",Very bright
4,4,Rose Williams,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,Love these flashlights! It does everything it said it would do!,Five Stars
5,5,Jullia,Was this review helpful to you?, April 9 2018,4.0 out of 5 stars,"This product came quickly and in perfect condition. Easy to use, accurate, durable, and very useful in our camping night. Great buy.",This product came quickly and in perfect condition. Easy to use
6,6,Wright,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,"Solid product. Works as well as flashlights 3 or 4 times the cost of this one, at least. I will buy another pair, soon.",Solid heavy duty flashlight.
7,7,Amazon Customer,One person found this helpful. Was this review helpful to you?, April 9 2018,4.0 out of 5 stars,Great product for the price! Arrived as stated. Good packaging. Would recommend,Four Stars
8,8,Mary Ann Callawa,Was this review helpful to you?, April 9 2018,4.0 out of 5 stars,Small compact light that you carry every day. So far great light. Only time will tell how durable and dependable it is.,So far great light. Only time will tell how durable and ...
9,9,Lauren Walsh,Was this review helpful to you?, April 9 2018,1.0 out of 5 stars,Ridiculously small. You are mislead by the picture on the site.,One Star
0,0,Mohit Gangwani,Was this review helpful to you?, December 1 2017,5.0 out of 5 stars,Lights work well and are bright. You have to cycle by pressing buttons for the three different settings. Not bad for the price.,Not bad for the price
1,1,Amazon Customer,One person found this helpful. Was this review helpful to you?, November 30 2017,5.0 out of 5 stars,great value for the money and brighter beam than expected. Nice telescoping feature that allows you to adjust the light beam width/brightness,great value for the money and brighter beam than expected
2,2,Amazon Customer,One person found this helpful. Was this review helpful to you?, November 27 2017,5.0 out of 5 stars,These little things pack a punch! They let out tons of light despite the small size.,Five Stars
3,3,amat92,One person found this helpful. Was this review helpful to you?, November 27 2017,5.0 out of 5 stars,Bought these to keep on us during hurricane Irma. They worked well and I loved the clip. Made it a bit harder to lose track of.,They worked well and I loved the clip
4,4,Grizzzl,Was this review helpful to you?, November 27 2017,5.0 out of 5 stars,these little flash lights pack a punch!,Five Stars
5,5,D. Agnone,Was this review helpful to you?, November 26 2017,5.0 out of 5 stars,These lights are EXCELLENT for the price!,Five Stars
6,6,uckeye,Was this review helpful to you?, November 25 2017,5.0 out of 5 stars,"Nice bright compact light for the price. The focused beam is an odd square shape, but not an issue for me. Have been using for about 3 months and seem to be good quality. Will buy more.",Nice bright compact light for the price
7,7,Nicole M. Friez,Was this review helpful to you?, November 24 2017,5.0 out of 5 stars,Great little light. Well worth the money. Built well for a small light.,Great little light.
8,8,James R Anderson,Was this review helpful to you?, November 24 2017,4.0 out of 5 stars,"The switch button on the end operates easily, but not so easily as to come on when, say, searching for my keys and being dead the next day.
I like the single AA battery.
I like the compact size. It's bright for its size-and this goes to the one thing I disliked: one photo shows this lite brightly illuminating both sides of a sidewalk. This doesn't quite do that. That overstatement is what gets this 4 stars instead of 5 from me. I got over that quickly. Ounce for ounce, this unit pulls its weight.",Surprising!
9,9,Ryan Reill,Was this review helpful to you?, November 23 2017,4.0 out of 5 stars,"So far, these are working great. I've had them for a few months and they've been on a few camping trips. I like this size flashlight because they are easy to give to the kids and have them put them in their pockets. Big flashlights get set down, and forgotten.",these are working great. I've had them for a few months and ...
0,0,H.Bekmuradov,Was this review helpful to you?, November 22 2017,4.0 out of 5 stars,"Small than expected, looks like a toy, not a real big torch.",looks like a toy
1,1,Coz,Was this review helpful to you?, November 21 2017,5.0 out of 5 stars,Very good little lights. Nice and bright. Need to buy more of them.,Very good little lights. Nice and bright. Need to buy more of them.
2,2,Octavio,Was this review helpful to you?, November 21 2017,2.0 out of 5 stars,"Well one worked great , the other one did not work since day one, was not so bright and just went off. Got a new battery and turned on and then off. DEAD NOW...SO , I WOULD NOT BUY! DID I MENTION THAT WE got HIT BY MARIA? YEAH AND REALLY NEEDED IT!","Well one worked great, the other one did not work since day ..."
3,3,steve,Was this review helpful to you?, November 20 2017,4.0 out of 5 stars,Very good.,Four Stars
4,4,stevi,Was this review helpful to you?, November 20 2017,5.0 out of 5 stars,fantastic lights! great value super bright.,Five Stars
5,5,Ronnie945,One person found this helpful. Was this review helpful to you?, November 20 2017,5.0 out of 5 stars,These guys are perfect. I love their little size. And even though small they provide so much light. I love that I can spotlight or shine a large area. I am very satisfied and would order another one of these packs anytime!,Perfect!
6,6,O. Andino,Was this review helpful to you?, November 20 2017,5.0 out of 5 stars,"Highly potent beams, sturdy and compact, great flashligths.",Great flashligths
7,7,Leslie Jensen,One person found this helpful. Was this review helpful to you?, November 19 2017,5.0 out of 5 stars,"Great little flashlights for camping/hiking. I kept one in my backpack for any emergency that might arise while hiking. And the other in the car to use at my campsites. I used the campsite flashlight EVERY night - it's small enough to comfortable fit in your pocket and bright enough to walk the dog and/or walk to the bathroom in near complete darkness and only had to replace the battery once. The only complaint I have is that it seems to always rotate into strobe mode when I would turn it on - a little irritating, but not a deal breaker.","Good, solid, small flashlights - great for camping"
8,8,jamie fiore,Was this review helpful to you?, November 18 2017,5.0 out of 5 stars,Very bright and durable,Great lights
9,9,Hyder Abadin,One person found this helpful. Was this review helpful to you?, November 17 2017,5.0 out of 5 stars,Great flashlights!,Five Stars
0,0,Amazon Customer,Was this review helpful to you?, November 17 2017,5.0 out of 5 stars,perfect little flashlights!,Love these cute little flashlights
1,1,Healthnut,Was this review helpful to you?, November 16 2017,4.0 out of 5 stars,"The price for these was great. For such a tiny item, they are very bright. Great in case of a hurricane when candles just won't do.",The price for these was great. For such a tiny item
2,2,Paun Marin,Was this review helpful to you?, November 16 2017,4.0 out of 5 stars,Gooooooood,Four Stars
3,3,anonymous,Was this review helpful to you?, November 14 2017,2.0 out of 5 stars,"fairly dim.
also you have to adjust the tension of the battery cap just so. if you tighten it all the way the flashlight wont function, usually. inconsistent.",for $10 i guess it's barely acceptable. but annoying
4,4,Chase P.,Was this review helpful to you?, November 14 2017,4.0 out of 5 stars,"These are awesome, one has already started shorting out. Also be sure to have a spare battery with you!",Four Stars
5,5,fastiger,One person found this helpful. Was this review helpful to you?, November 14 2017,1.0 out of 5 stars,One of the flash light stop working after about a month to use. It seems like the switch problem to something internal. Not recommendable,Not a good quality
6,6,Pete Felicijan,Was this review helpful to you?, November 13 2017,5.0 out of 5 stars,what a great deal,Five Stars
7,7,MXN,2 people found this helpful. Was this review helpful to you?, November 13 2017,1.0 out of 5 stars,"One DOA, second one can't use button to turn light off.",One Star
8,8,Verdez Reviews,One person found this helpful. Was this review helpful to you?, November 11 2017,2.0 out of 5 stars,"I was expecting too much out of these little guys. Ad says 300 lumens if im remembering correctly. Id say theyre more around 90-110lumens. 3/4 have scratched lenses which isnt too much of an issue but considering theyre scratched on the inside, it could come as a concern to others.",I was expecting too much out of these little guys ...
9,9,Daniel N.,Was this review helpful to you?, November 11 2017,2.0 out of 5 stars,Expect what you pay for. These started malfunctioning after ±6 uses. Really cheaply made. Expect to have these break very fast.,"CHEAP IN PRICE, CHEAP IN QUALITY"
0,0,ryan,Was this review helpful to you?, November 11 2017,5.0 out of 5 stars,"A very solid purchase, this flashlight blow my mind, I wasn't expecting a lot on this very small flashlight but i guess good things comes in small packages.",I wasn't expecting a lot on this very small flashlight but i guess good things comes in small packages
1,1,sandra l smith,Was this review helpful to you?, November 11 2017,2.0 out of 5 stars,Not bright at all but handy enough,Two Stars
2,2,loveldo,Was this review helpful to you?, November 11 2017,4.0 out of 5 stars,great value,Light
3,3,indymojo,Was this review helpful to you?, November 10 2017,3.0 out of 5 stars,would not buy again. why to small. i guess i need to read description better or measure better. these are sooooo small. They work ok too but just to sarn small.,i guess i need to read description better or measure better
4,4,RonV,Was this review helpful to you?, November 9 2017,5.0 out of 5 stars,Though these were cheap quality but they are metal and really brite.Very good item!,Very good item!
5,5,Angelo ,Was this review helpful to you?, November 9 2017,5.0 out of 5 stars,It works as described. Does the job for me. Kids use it all the time and they're still intact. Batteries last decent amount of time so worth the money,Good buy
6,6,Ulysses gonsalez,Was this review helpful to you?, November 8 2017,5.0 out of 5 stars,Great buy. Good price and they have three modes. Low high and sos. They also come with zoom that will allow more light and will put up a nice square when you pull the front on the flash light forward.,Great buy. Good price and they have three modes
7,7,b w,Was this review helpful to you?, November 8 2017,5.0 out of 5 stars,these things put out a lotta light .,Five Stars
8,8,Snax,3 people found this helpful. Was this review helpful to you?, November 7 2017,3.0 out of 5 stars,"Even though, the wide angle gives a decent spray of light. With a fresh battery, these lights struggled to light the bushes from 50 yards away. That does not mean if you want to use these babies in the attic, while checking the rat traps, you wont have great light, but when you zoom the lens for a tighter Beam... you'll find a ""square"" which is emitted by the LED module/crystal. Which is okay, (for kids) but not great if you need to really see that ""thing"" that is right there... LOOKIN BACK AT YOU ...... All in all, this is great deal for a four pack of flashlights that you can give to the kids for a camping trip, to keep them all on the same wave, but if you're looking for something else to keep you out of the dark, and give yourself a chance to stay ahead of the critters... try something else.",Great for the kids while Camping
9,9,tugce,Was this review helpful to you?, November 7 2017,5.0 out of 5 stars,Bought these as back up flashlights for the recent hurricane season. They work great. Light weight. Good price.,They work great. Light weight
0,0,Angie S.,Was this review helpful to you?, November 7 2017,5.0 out of 5 stars,"Bright, small, adjustable. I love these",I love
1,1,Cliente de Amazon,Was this review helpful to you?, November 7 2017,5.0 out of 5 stars,"Very good, with high and low bright",Five Stars
2,2,Amazon Customer,Was this review helpful to you?, November 7 2017,5.0 out of 5 stars,very good Item... My recomendation 100%... only used a Battery....,Five Stars
3,3,Kyser15,Was this review helpful to you?, November 6 2017,5.0 out of 5 stars,Works as expected good product! A+,Five Stars
4,4,Jacqueline Jones,Was this review helpful to you?, November 4 2017,5.0 out of 5 stars,Great product! Was very Impressed how much light they produce. Perfect for walking my dog at night. Feel a lot safer with these !!!!,Highly recommend
5,5,Michael Salemi,Was this review helpful to you?, November 4 2017,5.0 out of 5 stars,"Superb quality, extremely bright flashlight at an astoundingly low price. You will NOT be disappointed. I have them all over the house and in every car...ended up buying 8 of them.","Superb quality, extremely bright flashlight"
6,6,Marc P. Fregeau,Was this review helpful to you?, November 4 2017,4.0 out of 5 stars,good value,Four Stars
7,7,Serpico322,Was this review helpful to you?, November 4 2017,5.0 out of 5 stars,"Good quality construction, bright light, working with no issues, using for hiking, back packing and on the nightstand",Five Stars
8,8,William Douglas,Was this review helpful to you?, November 4 2017,5.0 out of 5 stars,Great lights.,Five Stars
9,9,CL0338745,Was this review helpful to you?, November 4 2017,3.0 out of 5 stars,"VERY small in size (like 3 inches at most). Good for purses or kids backpacks.
They work well tho.",Very small in size
0,0,Amazon Customer,Was this review helpful to you?, November 4 2017,1.0 out of 5 stars,weak,One Star
1,1,Annette Willmore,Was this review helpful to you?, November 3 2017,3.0 out of 5 stars,Works fine for close up lighting but distance is a problem. Not the brightest either.,Three Stars
2,2,ps,One person found this helpful. Was this review helpful to you?, November 3 2017,5.0 out of 5 stars,"Really great flashlights, very bright, well made, for an excellent price.",My favorite small flashlight
3,3,OD,One person found this helpful. Was this review helpful to you?, November 1 2017,5.0 out of 5 stars,So bright it can be used as a weapon,Police grade luminescence
4,4,Megan,Was this review helpful to you?, November 1 2017,3.0 out of 5 stars,Have to press the button repeatedly to cycle through the options.,Three Stars
5,5,Harsha ,Was this review helpful to you?, November 1 2017,3.0 out of 5 stars,The build quality is great and they were very useful during Hurricane Harvey but one of the flashlight in the 2-pack was defective and is hard to get it working.,Quality small size flashlights
6,6,Amazon Customer,Was this review helpful to you?, November 1 2017,5.0 out of 5 stars,Awesome flashlights!,Five Stars
7,7,Amazon Customer,Was this review helpful to you?, October 31 2017,4.0 out of 5 stars,handy. don't know how long batteries last yet as they're still too new. :),good product
8,8,Jerrold Winters,Was this review helpful to you?, October 31 2017,4.0 out of 5 stars,One of the units does not work!!! It should be replaced . There was no info as to who to contact. All the others work well.,HELP
9,9,Cami Gener,Was this review helpful to you?, October 31 2017,5.0 out of 5 stars,I love these things. Such a steal for the price.,Five Stars
0,0,Max H. Morse,One person found this helpful. Was this review helpful to you?, October 30 2017,5.0 out of 5 stars,"I love them the,1 fo me and 1 for mom very bright!!",Buy These great brightness for the size and adjustable lens is awesome!
1,1,ROBERT R.,Was this review helpful to you?, October 30 2017,4.0 out of 5 stars,good product,Four Stars
2,2,Larry basile,Was this review helpful to you?, October 29 2017,4.0 out of 5 stars,Ok nothing spectacular,Four Stars
3,3,Amazon Customer,Was this review helpful to you?, October 28 2017,5.0 out of 5 stars,Great lights,Five Stars
4,4,Amazon Customer,Was this review helpful to you?, October 28 2017,5.0 out of 5 stars,Perfect,Five Stars
5,5,Geeksquad,Was this review helpful to you?, October 27 2017,4.0 out of 5 stars,Super bright and only takes one AA cell. Seems very sturdy.,Sturdy and bright
6,6,Amazon Customer,Was this review helpful to you?, October 26 2017,4.0 out of 5 stars,Great flash Light for a great price.,Four Stars
7,7,Michael Fabiano,Was this review helpful to you?, October 26 2017,5.0 out of 5 stars,Very bright and compact,Five Stars
8,8,HG,Was this review helpful to you?, October 26 2017,5.0 out of 5 stars,Great gifts,Bright
9,9,bluedot,Was this review helpful to you?, October 25 2017,4.0 out of 5 stars,Nice. Well made. Adjustable lens. Minimal packaging. Batteries not included.,Batteries not included.
0,0,Jose,Was this review helpful to you?, October 25 2017,5.0 out of 5 stars,Great product!,Five Stars
1,1,butta yehonatan yaakove,Was this review helpful to you?, October 25 2017,5.0 out of 5 stars,very good,Five Stars
2,2,Vanessa Koch,Was this review helpful to you?, October 24 2017,2.0 out of 5 stars,"I thought the flashlight was good but I did not know that it flickers and I can’t use it for the intended purpose, which is to seat guest in a performing arts center. Kind of disappointed",Wish it did not flicker
3,3,Vladimir Vinokurov,Was this review helpful to you?, October 24 2017,5.0 out of 5 stars,"I used this type of flashlights before (they are rather generic), and these also perform as well or better than many brand name units. One thing to make sure is to tighten the clip screws using thread locker, as those screws tend to get loose over time and my get lost rendering the clip useless.",Good working flashlights.
4,4,DenverDawg,4 people found this helpful. Was this review helpful to you?, October 24 2017,1.0 out of 5 stars,"I got this in June of this year. After less than four months, it's broken. Something is rattling around inside, it won't zoom in all the way any more, and there are two rubber band like things that (I'm guessing) used to be inside the flashlight and are very likely related to why it isn't working any more. My work backpack has a pocket on the shoulder strap. It had been in that pocket for maybe a month before I discovered it had broken.

This flashlight is not rugged. Not even a little. If clipping it on an office worker's backpack for a month breaks something... Well let's just say I'm glad I didn't get into a situation where I was relying on this light. Very glad.

Oh, and nothing at all on this product offering about warranty, how to return it, etc. Honestly, I wouldn't accept a replacement. Only a refund.

One other and less important gripe: The pocket clip is way too rigid and is really hard to get on anything. That's why I put it on the pocket on my backpack shoulder strap. I couldn't even get the clip over the edge of my jeans pocket without using a tool to pry it open.

Move on...get something else. Anything. A glow stick would be better and last longer.",Not rugged. Not even a little...
5,5,Sutiikare,Was this review helpful to you?, October 24 2017,4.0 out of 5 stars,"They work well, lightweight and somewhat powerful. They do the job. Good on the battery also.",They are decent!
6,6,JoBean,Was this review helpful to you?, October 23 2017,5.0 out of 5 stars,Very bright and good for the price!,Five Stars
7,7,Jamie Naylor,Was this review helpful to you?, October 23 2017,5.0 out of 5 stars,Very bright,Five Stars
8,8,Ed,Was this review helpful to you?, October 23 2017,5.0 out of 5 stars,Works very well..,Five Stars
9,9,Robert Wenaas,Was this review helpful to you?, October 23 2017,5.0 out of 5 stars,"The preformance and quality of these little flashlights is amazing. I haven't used one long enough to expend the single AA cell but the amount of light they put out from 1.5 volts defies belief. The color temperature is higher (bluer) than I would like for longer duration use, their small size makes up for that in convenience and their billet aluminum housing is as rugged as more expensive competitors","Tough, bright, compact and inexpensive, what more could one want?"
0,0,Sam,2 people found this helpful. Was this review helpful to you?, October 22 2017,1.0 out of 5 stars,"Unable to open battery cap of flashlights. Contacted supplier, still no response. Worst Product & Service.",WORST PRODUCT and CUSTOMER SERVICE
1,1,Amazon Customer,Was this review helpful to you?, October 21 2017,2.0 out of 5 stars,Very dim. Not worth the money.,Two Stars
2,2,J J,Was this review helpful to you?, October 21 2017,3.0 out of 5 stars,One would not work. Amazon returned it. Don’t like the strobe light function.,Don’t like the strobe light function
3,3,Amazon Customer,Was this review helpful to you?, October 21 2017,5.0 out of 5 stars,Very Bright and very portable. Love that it comes in a two pack. Would purchase again.,Love that it comes in a two pack
4,4,CU,Was this review helpful to you?, October 21 2017,5.0 out of 5 stars,"Great price, small and very bright- Easy fit in any pocket One can't have too many flashlights",Five Stars
5,5,Seth L. Baer,Was this review helpful to you?, October 21 2017,5.0 out of 5 stars,"For the price, these flashlights are great. They seem very durable as well.",these flashlights are great. They seem very durable as well
6,6,baconschteam,Was this review helpful to you?, October 20 2017,5.0 out of 5 stars,I was about to give it two stars since I was so sad that I lost one but then I realized that was silly. These are so bright and small! Great for camping or anything. Solid construction. Batteries haven't died. I'll buy more of these if I need more flashlights.,"Great little things, but I lost one."
7,7,J. Dal,Was this review helpful to you?, October 19 2017,5.0 out of 5 stars,Right size. Easy to store in small emergency bag.,Right Size
8,8,creekapeake,Was this review helpful to you?, October 19 2017,5.0 out of 5 stars,Works great. I like having only one AA batter to replace.,Works great. I like having only one AA batter to ...
9,9,Sampen78,Was this review helpful to you?, October 19 2017,2.0 out of 5 stars,One works great and the other has a disfunction when trying to use the “spot light.” It won’t stay in place and I manually have to hold it.,One works great and the other has a disfunction when trying to ...
0,0,MMTech1,Was this review helpful to you?, October 18 2017,3.0 out of 5 stars,Not as bright as the Solaray one I have. These always want to start out flashing so I have to remember to push button twice.,Not as bright as the Solaray one I have. ...
1,1,HarishS,Was this review helpful to you?, October 18 2017,5.0 out of 5 stars,"Excellent flashlight. Puts out a lot of light from a compact, durable body, uses only a single AA battery.","Love this little, bright light."
2,2,asel M Humaidah,Was this review helpful to you?, October 18 2017,5.0 out of 5 stars,Nice,Five Stars
3,3,dward,6 people found this helpful. Was this review helpful to you?, October 17 2017,1.0 out of 5 stars,"update. both flashlights have ceased working after less than a month. so the verdict is; do not buy this product.

fantastic little flashlight!! very bright and love the zoom feature. I use it to walk dogs in the dark and it is perfect.",this isnt the one
4,4,Omar Lopez,Was this review helpful to you?, October 17 2017,5.0 out of 5 stars,Sending tons of these al9ng with batteries and led lamps to 0yerto Rico. Folks having sone seruoys power issues there.,Sending tons of these al9ng with batteries and led lamps ...
5,5,rianSalvi,Was this review helpful to you?, October 16 2017,5.0 out of 5 stars,"Great lights! Extremely bright. The cost makes these quite the bargain. I placed one in each of my cars. I plan on buying more to put in my squad car for an emergency, and to carry while I am on duty. By far the brightest light I have ever owned for the size.",Great lights! Extremely bright
6,6,Amazon Customer,Was this review helpful to you?, October 15 2017,5.0 out of 5 stars,nice flashlight for the value.....,Five Stars
7,7,Shirle,Was this review helpful to you?, October 15 2017,5.0 out of 5 stars,This was a great buy and they work well. Good to keep in the car glove box.,Five Stars
8,8,Melissa,Was this review helpful to you?, October 14 2017,3.0 out of 5 stars,They're bright but very small. Gets the job done tho,Three Stars
9,9,Duane R. Collie,Was this review helpful to you?, October 13 2017,5.0 out of 5 stars,"Terrific lights you can carry for a walk, etc. Fits in your pocket. Recommended.",Five Stars
0,0,radey Christensen,Was this review helpful to you?, April 9 2018,1.0 out of 5 stars,Only one works. The one that does is mediocre at best.,The one that does is mediocre at best.
1,1,John Weber,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,"Most: size, uses 2A battery, adjustable light beam. Least: the method used to change the light mode.",Five Stars
2,2,K Reed,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,"Awesome little light, highly recommend",Five Stars
3,3,W,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,"Durable, lightweight and very bright",Five Stars
4,4,allena,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,Very good quality lights for the size of flashlight,Five Stars
5,5,Oscar A Campos,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,They work great. Flashlights are small but do a great job of lighting up the area.,Five Stars
6,6,Laura,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,Great little bright light!,Five Stars
7,7,Emanuel,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,Great product..,Five Stars
8,8,LL,Was this review helpful to you?, April 9 2018,5.0 out of 5 stars,"These are compact size flashlights, fit in palm. 3 light levels with click of button at the end of flash light. It is good for daily use to keep in the pocket for emergencies or just for walking the dog at night. Recommended",Compact and useful
9,9,Jennifer,Was this review helpful to you?, April 9 2018,2.0 out of 5 stars,Very small which was awesome and it was doing what I bought it for until the light stopped turning on. Flashlights seem to have a mind of there own. These would work good for around the house and emergency use but not for any type of work/long periods of off and on usage.,Very small which was awesome and it was doing what I bought it for ...
0,0,ernard G. Reeb,Was this review helpful to you?, October 13 2017,5.0 out of 5 stars,Great little flashlight. Bright and adjustable for close up or distance.,Great little flashlight
1,1,Rosalie A. Strawcutter,Was this review helpful to you?, October 12 2017,5.0 out of 5 stars,I really liked these...so did the repairmen in my home as they walked away with the two I owned! Great gift for a man apparently!,Great gift for a guy as mine keep dissapearing!
2,2,La Cabaña,Was this review helpful to you?, October 11 2017,5.0 out of 5 stars,"This is a pair of solidly constructed, bright mini flashlights.

Plan to leave one home and use the other for travel.",Solidly-Constructed Mini Flashlights
3,3,obby K.,Was this review helpful to you?, October 9 2017,5.0 out of 5 stars,Great,Five Stars
4,4,miguel arellano,Was this review helpful to you?, October 9 2017,5.0 out of 5 stars,"super bright, and very handy. great buy for under $10",Five Stars
5,5,kbn,Was this review helpful to you?, October 8 2017,5.0 out of 5 stars,These flashlights are the BOMB! Love their size and brilliant light. Reminds me of the flashlight seen on the tv show CSI.,Great flashlights
